,precision,recall,f1-score,support
HUALALAI,0.56,0.58,0.57,31.0
KILAUEA,0.83,0.82,0.82,179.0
KOHALA,0.55,0.46,0.5,13.0
MAUNA KEA,0.68,0.8,0.73,65.0
Unknown: 5.0,0.0,0.0,0.0,3.0
MAUNA LOA,0.71,0.7,0.7,80.0
Unknown: 0.0,0.4,0.33,0.36,6.0
CALDERA-FILLING STAGE,0.0,0.0,0.0,0.0
POST-SHIELD STAGE,0.14,0.17,0.15,6.0
SHIELD STAGE,0.27,0.6,0.37,5.0
KAUAI,0.85,0.68,0.76,25.0
Unknown: 16.0,1.0,1.0,1.0,1.0
SOUTH RIFT ZONE,0.0,0.0,0.0,1.0
HALEAKALA,0.47,0.52,0.49,29.0
WEST MAUI,0.29,0.29,0.29,7.0
EAST MOLOKAI,0.52,0.46,0.49,28.0
WEST MOLOKAI,0.33,0.13,0.19,15.0
Unknown: 15.0,1.0,0.33,0.5,3.0
PANIAU UNIT,0.0,0.0,0.0,0.0
REJUVENATED STAGE,1.0,0.8,0.89,5.0
KOOLAU,0.69,0.76,0.73,54.0
WAIANAE,0.39,0.42,0.41,26.0
micro avg,0.67,0.67,0.67,582.0
macro avg,0.49,0.45,0.45,582.0
weighted avg,0.67,0.67,0.67,582.0
